Customer ID,Age,Gender,Annual Income,Spending Score
A0001,36,Male,141,9
A0002,63,Male,114,99
A0003,80,Male,122,99
A0004,43,Female,118,70
A0005,49,Female,123,79
A0006,53,Female,65,50
A0007,82,Male,63,19
A0008,43,Female,153,25
A0009,51,Female,107,78
A0010,22,Male,31,99
A0011,54,Male,46,39
A0012,25,Female,130,52
A0013,69,Female,73,77
A0014,87,Male,109,53
A0015,58,Female,171,73
A0016,23,Male,142,37
A0017,38,Male,193,71
A0018,45,Female,193,66
A0019,27,Male,122,24
A0020,54,Male,112,44
A0021,84,Male,22,75
A0022,75,Female,48,26
A0023,87,Male,75,83
A0024,25,Female,109,61
A0025,65,Female,53,16
A0026,46,Female,162,38
A0027,53,Female,85,13
A0028,79,Male,80,83
A0029,63,Male,92,25
A0030,64,Male,73,91
A0031,39,Male,168,91
A0032,51,Male,156,29
A0033,41,Male,79,57
A0034,57,Female,54,10
A0035,81,Male,54,17
A0036,65,Male,31,69
A0037,75,Male,35,39
A0038,69,Female,180,53
A0039,35,Female,174,64
A0040,87,Female,50,48
A0041,86,Male,100,35
A0042,73,Male,48,82
A0043,25,Female,198,29
A0044,49,Male,88,96
A0045,48,Male,101,26
A0046,22,Male,40,40
A0047,27,Male,39,29
A0048,53,Female,101,61
A0049,55,Male,112,53
A0050,21,Male,199,49
A0051,47,Male,160,77
A0052,77,Female,192,57
A0053,31,Male,175,79
A0054,63,Female,93,39
A0055,21,Female,44,4
A0056,51,Male,191,41
A0057,77,Male,65,75
A0058,82,Female,84,66
A0059,25,Female,136,39
A0060,73,Male,37,86
A0061,20,Female,94,34
A0062,71,Female,122,66
A0063,45,Female,58,64
A0064,69,Male,145,95
A0065,70,Male,160,34
A0066,49,Male,195,99
A0067,86,Female,134,66
A0068,42,Male,34,66
A0069,54,Female,153,87
A0070,23,Male,94,66
A0071,26,Male,52,75
A0072,26,Male,193,42
A0073,54,Female,29,61
A0074,19,Female,57,59
A0075,71,Male,190,75
A0076,75,Male,85,96
A0077,18,Female,96,64
A0078,88,Female,149,11
A0079,35,Female,118,8
A0080,86,Male,109,60
A0081,32,Female,176,65
A0082,40,Male,97,52
A0083,48,Female,170,54
A0084,53,Male,57,10
A0085,85,Male,133,46
A0086,24,Female,192,99
A0087,27,Male,59,34
A0088,21,Male,144,36
A0089,30,Female,157,65
A0090,66,Male,54,11
A0091,51,Female,144,76
A0092,51,Female,135,87
A0093,75,Male,129,64
A0094,71,Female,77,31
A0095,71,Female,95,52
A0096,31,Female,75,65
A0097,43,Female,171,11
A0098,48,Male,71,1
A0099,55,Male,193,56
A0100,59,Male,137,23
A0101,52,Male,69,16
A0102,34,Female,38,84
A0103,55,Female,189,98
A0104,41,Female,199,49
A0105,33,Female,59,98
A0106,65,Female,116,76
A0107,40,Male,66,16
A0108,83,Male,53,4
A0109,38,Male,156,41
A0110,33,Female,69,73
A0111,88,Male,28,84
A0112,20,Male,45,67
A0113,85,Male,115,70
A0114,73,Male,64,2
A0115,71,Male,148,13
A0116,41,Male,59,74
A0117,37,Male,142,3
A0118,66,Male,150,42
A0119,36,Female,92,79
A0120,71,Male,153,1
A0121,41,Male,114,14
A0122,39,Female,44,12
A0123,24,Male,150,90
A0124,76,Female,77,20
A0125,68,Male,97,46
A0126,60,Female,91,89
A0127,85,Female,151,58
A0128,65,Male,163,78
A0129,53,Female,30,29
A0130,84,Male,196,86
A0131,81,Male,174,47
A0132,39,Male,196,78
A0133,29,Male,45,65
A0134,50,Male,75,29
A0135,51,Male,110,74
A0136,89,Male,59,13
A0137,36,Female,197,12
A0138,75,Female,124,27
A0139,44,Male,149,87
A0140,27,Male,137,51
A0141,19,Male,150,61
A0142,72,Female,148,17
A0143,64,Male,170,72
A0144,42,Male,181,46
A0145,73,Female,139,97
A0146,36,Male,197,37
A0147,57,Male,135,39
A0148,43,Female,20,32
A0149,47,Male,49,52
A0150,38,Female,113,35
A0151,79,Female,44,59
A0152,54,Male,172,23
A0153,38,Female,168,33
A0154,74,Female,165,100
A0155,61,Male,36,12
A0156,18,Male,98,58
A0157,19,Female,129,21
A0158,67,Male,27,71
A0159,59,Male,194,40
A0160,38,Female,192,6
A0161,61,Male,195,66
A0162,66,Male,39,35
A0163,51,Female,88,84
A0164,50,Male,140,83
A0165,23,Female,190,22
A0166,66,Female,84,100
A0167,76,Female,163,69
A0168,56,Female,153,56
A0169,57,Female,123,97
A0170,44,Male,173,91
A0171,81,Female,46,30
A0172,85,Female,25,54
A0173,31,Male,123,60
A0174,61,Female,60,36
A0175,58,Female,185,95
A0176,49,Female,198,35
A0177,33,Female,88,57
A0178,73,Female,160,75
A0179,65,Male,186,4
A0180,54,Male,180,41
A0181,82,Female,86,24
A0182,87,Female,113,26
A0183,60,Male,32,98
A0184,62,Male,153,17
A0185,33,Female,119,56
A0186,21,Female,106,30
A0187,69,Male,69,65
A0188,37,Female,21,44
A0189,39,Male,193,85
A0190,78,Male,20,44
A0191,79,Female,95,76
A0192,61,Male,173,57
A0193,57,Female,172,90
A0194,88,Male,80,9
A0195,68,Female,126,34
A0196,41,Female,144,78
A0197,85,Male,58,28
A0198,83,Female,161,34
A0199,32,Male,121,40
A0200,79,Male,167,52
A0201,44,Female,43,43
A0202,25,Male,136,18
A0203,56,Male,166,89
A0204,90,Male,175,36
A0205,20,Female,187,35
A0206,39,Male,162,89
A0207,30,Male,34,78
A0208,18,Female,139,99
A0209,56,Female,26,44
A0210,65,Male,103,35
A0211,86,Male,135,90
A0212,65,Female,84,15
A0213,82,Male,122,46
A0214,37,Female,64,51
A0215,36,Male,27,34
A0216,83,Male,151,50
A0217,40,Male,137,78
A0218,87,Male,142,72
A0219,86,Male,68,32
A0220,35,Male,112,99
A0221,75,Female,65,8
A0222,79,Male,170,8
A0223,75,Male,65,50
A0224,70,Male,162,36
A0225,52,Female,86,28
A0226,90,Female,196,77
A0227,38,Male,102,37
A0228,34,Male,135,47
A0229,65,Female,44,36
A0230,57,Male,151,72
A0231,57,Female,161,70
A0232,28,Male,76,96
A0233,81,Male,68,93
A0234,31,Female,151,48
A0235,33,Female,177,29
A0236,46,Male,195,98
A0237,89,Male,174,34
A0238,34,Female,61,72
A0239,74,Male,28,51
A0240,34,Female,105,95
A0241,42,Male,141,33
A0242,74,Female,40,75
A0243,61,Male,141,45
A0244,78,Female,175,47
A0245,55,Female,52,27
A0246,42,Female,193,27
A0247,34,Male,81,85
A0248,85,Female,82,73
